fecha,ventas_euros,num_clientes,categoria,prescripcion,satisfaccion,edad_promedio,temperatura
2023-01-01,2156.32,45,Medicamentos,Si,4,42.3,18.5
2023-01-02,1987.54,52,Cosmetica,No,5,35.2,19.1
2023-01-03,2345.67,48,Higiene,No,3,51.4,17.8
2023-01-04,1876.23,41,Nutricion,No,4,39.7,20.2
2023-01-05,2543.12,55,Medicamentos,Si,5,48.9,21.3
2023-01-06,1654.89,38,Medicamentos,Si,3,62.1,19.7
2023-01-07,2234.56,49,Cosmetica,No,4,33.8,18.9
2023-01-08,2012.34,46,Higiene,No,5,44.6,22.1
2023-01-09,2456.78,53,Medicamentos,Si,4,56.3,20.8
2023-01-10,1789.45,42,Nutricion,No,3,41.2,19.3
2023-01-11,2678.90,58,Medicamentos,Si,5,49.5,21.7
2023-01-12,1923.45,44,Cosmetica,No,4,37.9,20.4
2023-01-13,2145.67,47,Higiene,No,4,45.8,18.6
2023-01-14,2389.12,51,Medicamentos,Si,5,53.2,22.3
2023-01-15,1734.56,39,Nutricion,No,3,38.4,19.8
2023-01-16,2567.89,56,Medicamentos,Si,4,47.6,20.9
2023-01-17,2098.76,48,Cosmetica,No,5,36.1,21.5
2023-01-18,1856.34,40,Higiene,No,3,50.7,19.2
2023-01-19,2423.45,52,Medicamentos,Si,4,54.9,20.6
2023-01-20,2189.67,49,Nutricion,No,5,42.8,22.1
2023-01-21,2756.23,59,Medicamentos,Si,5,48.3,21.4
2023-01-22,1967.89,43,Cosmetica,No,4,34.5,19.7
2023-01-23,2134.56,47,Higiene,No,4,46.2,20.3
2023-01-24,2478.90,54,Medicamentos,Si,5,51.8,21.9
2023-01-25,1823.45,41,Nutricion,No,3,39.6,18.8
2023-01-26,2645.67,57,Medicamentos,Si,4,49.1,22.5
2023-01-27,2023.12,45,Cosmetica,No,5,37.3,20.1
2023-01-28,1945.78,44,Higiene,No,3,52.4,19.5
2023-01-29,2512.34,55,Medicamentos,Si,4,55.6,21.2
2023-01-30,2267.89,50,Nutricion,No,5,43.9,20.7
